Consumer_Timestamp,Producer_timestamp,Date,Time,Datetime,Record Index,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
2025-04-04T15:26:44.422846,2025-04-04T14:45:33.903819,10/03/2004,18.00.00,2004-03-10T18:00:00,0,2.6,1360.0,150.0,11.9,1046.0,166.0,1056.0,113.0,1692.0,1268.0,13.6,48.9,0.7578
2025-04-04T15:26:44.423620,2025-04-04T14:45:33.969644,10/03/2004,19.00.00,2004-03-10T19:00:00,1,2.0,1292.0,112.0,9.4,955.0,103.0,1174.0,92.0,1559.0,972.0,13.3,47.7,0.7255
2025-04-04T15:26:44.424104,2025-04-04T14:45:33.971183,10/03/2004,20.00.00,2004-03-10T20:00:00,2,2.2,1402.0,88.0,9.0,939.0,131.0,1140.0,114.0,1555.0,1074.0,11.9,54.0,0.7502
2025-04-04T15:26:44.424936,2025-04-04T14:45:33.972456,10/03/2004,21.00.00,2004-03-10T21:00:00,3,2.2,1376.0,80.0,9.2,948.0,172.0,1092.0,122.0,1584.0,1203.0,11.0,60.0,0.7867
2025-04-04T15:26:44.425309,2025-04-04T14:45:33.973231,10/03/2004,22.00.00,2004-03-10T22:00:00,4,1.6,1272.0,51.0,6.5,836.0,131.0,1205.0,116.0,1490.0,1110.0,11.2,59.6,0.7888
2025-04-04T15:26:44.425709,2025-04-04T14:45:33.974287,10/03/2004,23.00.00,2004-03-10T23:00:00,5,1.2,1197.0,38.0,4.7,750.0,89.0,1337.0,96.0,1393.0,949.0,11.2,59.2,0.7848
2025-04-04T15:26:44.425987,2025-04-04T14:45:33.975264,11/03/2004,00.00.00,2004-03-11T00:00:00,6,1.2,1185.0,31.0,3.6,690.0,62.0,1462.0,77.0,1333.0,733.0,11.3,56.8,0.7603
2025-04-04T15:26:44.426214,2025-04-04T14:45:33.976538,11/03/2004,01.00.00,2004-03-11T01:00:00,7,1.0,1136.0,31.0,3.3,672.0,62.0,1453.0,76.0,1333.0,730.0,10.7,60.0,0.7702
2025-04-04T15:26:44.426568,2025-04-04T14:45:33.977896,11/03/2004,02.00.00,2004-03-11T02:00:00,8,0.9,1094.0,24.0,2.3,609.0,45.0,1579.0,60.0,1276.0,620.0,10.7,59.7,0.7648
2025-04-04T15:26:44.426867,2025-04-04T14:45:33.978846,11/03/2004,03.00.00,2004-03-11T03:00:00,9,0.6,1010.0,19.0,1.7,561.0,,1705.0,,1235.0,501.0,10.3,60.2,0.7517
2025-04-04T15:26:44.427175,2025-04-04T14:45:33.979876,11/03/2004,04.00.00,2004-03-11T04:00:00,10,,1011.0,14.0,1.3,527.0,21.0,1818.0,34.0,1197.0,445.0,10.1,60.5,0.7465
2025-04-04T15:26:44.428538,2025-04-04T14:45:33.981227,11/03/2004,05.00.00,2004-03-11T05:00:00,11,0.7,1066.0,8.0,1.1,512.0,16.0,1918.0,28.0,1182.0,422.0,11.0,56.2,0.7366
2025-04-04T15:26:44.429189,2025-04-04T14:45:33.983767,11/03/2004,06.00.00,2004-03-11T06:00:00,12,0.7,1052.0,16.0,1.6,553.0,34.0,1738.0,48.0,1221.0,472.0,10.5,58.1,0.7353
2025-04-04T15:26:44.429570,2025-04-04T14:45:33.985486,11/03/2004,07.00.00,2004-03-11T07:00:00,13,1.1,1144.0,29.0,3.2,667.0,98.0,1490.0,82.0,1339.0,730.0,10.2,59.6,0.7417
2025-04-04T15:26:44.429978,2025-04-04T14:45:33.987326,11/03/2004,08.00.00,2004-03-11T08:00:00,14,2.0,1333.0,64.0,8.0,900.0,174.0,1136.0,112.0,1517.0,1102.0,10.8,57.4,0.7408
2025-04-04T15:26:44.430446,2025-04-04T14:45:33.989285,11/03/2004,09.00.00,2004-03-11T09:00:00,15,2.2,1351.0,87.0,9.5,960.0,129.0,1079.0,101.0,1583.0,1028.0,10.5,60.6,0.7691
2025-04-04T15:26:44.430819,2025-04-04T14:45:33.991369,11/03/2004,10.00.00,2004-03-11T10:00:00,16,1.7,1233.0,77.0,6.3,827.0,112.0,1218.0,98.0,1446.0,860.0,10.8,58.4,0.7552
2025-04-04T15:26:44.431367,2025-04-04T14:45:33.993733,11/03/2004,11.00.00,2004-03-11T11:00:00,17,1.5,1179.0,43.0,5.0,762.0,95.0,1328.0,92.0,1362.0,671.0,10.5,57.9,0.7352
2025-04-04T15:26:44.431689,2025-04-04T14:45:33.995961,11/03/2004,12.00.00,2004-03-11T12:00:00,18,1.6,1236.0,61.0,5.2,774.0,104.0,1301.0,95.0,1401.0,664.0,9.5,66.8,0.7951
2025-04-04T15:26:44.432083,2025-04-04T14:45:33.999055,11/03/2004,13.00.00,2004-03-11T13:00:00,19,1.9,1286.0,63.0,7.3,869.0,146.0,1162.0,112.0,1537.0,799.0,8.3,76.4,0.8393
2025-04-04T15:26:44.432324,2025-04-04T14:45:34.000746,11/03/2004,14.00.00,2004-03-11T14:00:00,20,2.9,1371.0,164.0,11.5,1034.0,207.0,983.0,128.0,1730.0,1037.0,8.0,81.1,0.8736
2025-04-04T15:26:44.432548,2025-04-04T14:45:34.002446,11/03/2004,15.00.00,2004-03-11T15:00:00,21,2.2,1310.0,79.0,8.8,933.0,184.0,1082.0,126.0,1647.0,946.0,8.3,79.8,0.8778
2025-04-04T15:26:44.432871,2025-04-04T14:45:34.004512,11/03/2004,16.00.00,2004-03-11T16:00:00,22,2.2,1292.0,95.0,8.3,912.0,193.0,1103.0,131.0,1591.0,957.0,9.7,71.2,0.8569
2025-04-04T15:26:44.433419,2025-04-04T14:45:34.005655,11/03/2004,17.00.00,2004-03-11T17:00:00,23,2.9,1383.0,150.0,11.2,1020.0,243.0,1008.0,135.0,1719.0,1104.0,9.8,67.6,0.8185
2025-04-04T15:26:44.434147,2025-04-04T14:45:34.007342,11/03/2004,18.00.00,2004-03-11T18:00:00,24,4.8,1581.0,307.0,20.8,1319.0,281.0,799.0,151.0,2083.0,1409.0,10.3,64.2,0.8065
2025-04-04T15:26:44.434773,2025-04-04T14:45:34.009082,11/03/2004,19.00.00,2004-03-11T19:00:00,25,6.9,1776.0,461.0,27.4,1488.0,383.0,702.0,172.0,2333.0,1704.0,9.7,69.3,0.8319
